,mean,std_dev,m,b,f_stat,p_val,r_squared,sig_p,sig_R,positive_trend
fake_title_subjectivity,0.5649623453900484,0.26434579521641804,2.4649433678078473e-06,0.5478001771916928,23.800076254396632,1.0806029507846392e-06,0.001706367751493354,True,False,True
fake_title_polarity,0.3196191039349374,0.25243332232902205,9.502094815601218e-07,0.3130032704195762,4.505388944121269,0.03380580906566031,0.0003234653552776079,True,False,True
fake_title_unique,0.9709252277456125,0.0453932709106257,-5.330385110119079e-07,0.9746365083785434,26.88461131614386,2.189971285599992e-07,0.001927090078168714,True,False,False
fake_title_profanity,0.12268002485769991,0.16494734028682975,-2.132484725450482e-06,0.1375274497586494,32.9847742076093,9.48235439866752e-09,0.0023633166290017993,True,False,False
fake_text_subjectivity,0.4580686639420438,0.1030137920464971,-3.1465790006536484e-07,0.46025946957125047,0.2263107412643343,0.6342804178121164,1.625302090135783e-05,False,False,False
fake_text_polarity,0.09895525390968246,0.09502215260216192,-1.11703383063618e-06,0.10673260195548767,31.816569437362986,1.7273866010018534e-08,0.002279807081087548,True,False,False
fake_text_unique,0.5602344522426558,0.1111498141515624,-2.5365379552065366e-06,0.5778950977557774,127.83278484996978,1.6420022556705126e-29,0.009097232140976907,True,False,False
fake_text_profanity,0.06937898494328622,0.1334991631704365,-9.6935282816771e-07,0.0761281040094035,7.61705407232459,0.005789445498146981,0.0005467458689656368,True,False,False
real_title_subjectivity,0.43775193323762757,0.2403746111967712,-8.596014202677085e-06,0.46831076372814145,31.389368559389002,2.190313718679906e-08,0.0043960303758228125,True,False,False
real_title_polarity,0.2539922537585479,0.19342268977994787,-6.922697670229466e-06,0.27860244397621475,42.02085160734061,9.63478927593871e-11,0.0058762031994209485,True,False,False
real_title_unique,0.9903968710342335,0.028224814201695404,-2.0705109601137636e-07,0.991132937680546,1.5166963902277752,0.21816085020901918,0.00021330325980362108,False,False,False
real_title_profanity,0.05170036999885491,0.0714566186283439,8.117056994093487e-07,0.04881475623745473,1.8498873844576436,0.173839620709739,0.0002601499699409482,False,False,True
real_text_subjectivity,0.37687358280368777,0.10107266040743593,-7.996324122263467e-06,0.40530051505833475,188.27417102551905,2.6104405509312308e-42,0.025800616314113345,True,False,False
real_text_polarity,0.08630880679566519,0.07568261388939547,-4.871940257873046e-06,0.10362855441240339,120.60360595513377,7.803565239469773e-28,0.01668191128152463,True,False,False
real_text_unique,0.5595166807356515,0.10704330754503509,5.196884175104912e-06,0.5410417574931564,93.72466333128071,4.95755446385147e-22,0.013012390131810547,True,False,True
real_text_profanity,0.012164463083816749,0.022077491515322685,-1.895034925822493e-08,0.012231831575429763,1.2711579669448518,0.2595876101565412,0.0001787777060401341,False,False,False
